Brand,Color,Type,Size,Spinspeed,Rating,No_of_reviews,No_of_Ratings,Price
BOSCH,Grey,Fully Automatic Front Load,7.0,1000.0,4.3,220,3126,27990.0
Haier,Grey,Fully Automatic Top Load,8.0,800.0,4.3,2106,23856,28999.0
IFB,Grey,Fully Automatic Front Load,5.0,720.0,4.3,3002,24422,19850.0
Haier,Grey,Fully Automatic Top Load,7.0,1400.0,4.3,38,330,59990.0
SAMSUNG,Grey,Fully Automatic Top Load,9.0,700.0,4.3,4479,57726,24990.0
Whirlpool,Grey,Fully Automatic Top Load,7.0,740.0,4.1,1230,16409,14990.0
MarQ,Blue,Semi Automatic Top Load,5.0,1350.0,4.3,2380,21723,10590.0
SAMSUNG,Grey,Semi Automatic Top Load,5.0,1200.0,4.3,3,87,14800.0
MarQ,White,Semi Automatic Top Load,8.0,1350.0,4.1,3,58,5299.0
Whirlpool,Grey,Fully Automatic Top Load,6.0,740.0,4.2,1363,19093,13790.0
Voltas,White,Fully Automatic Front Load,5.0,1000.0,4.0,96,815,23990.0
Whirlpool,Grey,Fully Automatic Top Load,6.0,740.0,4.3,2039,26651,13950.0
BOSCH,Silver,Fully Automatic Front Load,7.0,1200.0,4.3,220,3126,31499.0
Voltas,White,Semi Automatic Top Load,4.0,1350.0,4.3,371,4615,16490.0
SAMSUNG,Grey,Fully Automatic Top Load,9.0,1400.0,4.4,1533,17279,42990.0
Whirlpool,Grey,Fully Automatic Top Load,8.0,740.0,4.2,20,151,31990.0
Voltas,Blue,Semi Automatic Top Load,8.0,1300.0,4.4,4,27,11929.0
Godrej,Grey,Semi Automatic Top Load,8.0,1400.0,4.3,32,338,15390.0
SAMSUNG,Black,Fully Automatic Front Load,9.0,1400.0,4.4,1533,17279,39990.0
Whirlpool,Grey,Fully Automatic Top Load,7.0,740.0,4.0,13,187,26990.0
Lloyd,Orange,Semi Automatic Top Load,5.0,1300.0,4.5,22,222,12700.0
Whirlpool,Grey,Fully Automatic Top Load,9.0,740.0,4.2,1363,19093,21890.0
